IDArt;CodProveedor;Articulo;PrecioCosto;PorcIVA;IDProveedor;IDRubro;IDMoneda;MargenMin;MargenInt;MargenMay;UniBulto;PorcDto;PorcRec;PrecioFlete;PVMin;PVInt;PVMay;CodBarra;Nota
002517;002517;MANAOS GRANADINA 3L;1633.0000;0.0;39;1;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;2700.0000;1960.0000;2700.0000;7798113302434;Rubro: BEBIDAS
002518;002518;MANAOS LIMA LIMON 3L;1633.0000;0.0;39;1;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;2900.0000;1960.0000;2900.0000;7798113301253;Rubro: BEBIDAS
002519;002519;MANAOS LIMON 3L;1633.0000;0.0;39;1;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;2900.0000;1960.0000;2900.0000;7798113301338;Rubro: BEBIDAS
002520;002520;MANAOS NARANJA 3L;1633.0000;0.0;39;1;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;2700.0000;1960.0000;2700.0000;7798113301260;Rubro: BEBIDAS
002521;002521;BAGGIO FRESH AGUA SAB. LIMON 600ML;555.0000;0.0;7;1;1;1.3;0.2;0.2;1;0.0;0.0;0.0000;1300.0000;666.0000;1300.0000;7790036974385;Rubro: BEBIDAS
002522;002522;TOPLINE SEVEN TURBO MINT 25G;1348.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2000.0000;1618.0000;2000.0000;7790580146818;Rubro: ALMACEN
002523;002523;TOPLINE SEVEN TURBO PINK 50G;3143.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;4700.0000;3772.0000;4700.0000;7790580150068;Rubro: ALMACEN
002524;002524;OFF REPELENTE 60G;1970.0000;0.0;42;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;3500.0000;2364.0000;3500.0000;77980755;Rubro: ALMACEN
002525;002525;JABON ZORRO 150G;754.0000;0.0;42;3;1;0.9;0.2;0.2;1;0.0;0.0;0.0000;1400.0000;905.0000;1400.0000;7790990001790;Rubro: ALMACEN
002526;002526;JABON PLUSBELLE JAZMIN 120G;611.0000;0.0;42;3;1;1.1;0.2;0.2;1;0.0;0.0;0.0000;1300.0000;733.0000;1300.0000;7790990004111;Rubro: ALMACEN
002527;002527;JABON PLUSBELLE COCO Y VAINILLA 120G;611.0000;0.0;42;3;1;1.5;0.2;0.2;1;0.0;0.0;0.0000;1500.0000;733.0000;1500.0000;7790990004074;Rubro: ALMACEN
002528;002528;CLIGHT MANZANA VERDE 7,5GG;360.0000;0.0;5;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;600.0000;432.0000;600.0000;7622201703059;Rubro: ALMACEN
002529;002529;CLIGHT POMELADA HIBISCUS 8G;360.0000;0.0;5;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;600.0000;432.0000;600.0000;7622202359934;Rubro: ALMACEN
002530;002530;CLIGHT MANDARINA 8G;360.0000;0.0;5;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;600.0000;432.0000;600.0000;7622201704148;Rubro: ALMACEN
002531;002531;CLIGHT LIMONADA ROSA 7,5G;360.0000;0.0;5;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;600.0000;432.0000;600.0000;7622201682026;Rubro: ALMACEN
002532;002532;CLIGHT PERA 7G;360.0000;0.0;5;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;600.0000;432.0000;600.0000;7622201703202;Rubro: ALMACEN
002533;002533;CLIGHT NARANJA DURAZNO 7.5G;360.0000;0.0;5;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;600.0000;432.0000;600.0000;7622201702717;Rubro: ALMACEN
002534;002534;CLIGHT NARANJA MANGO 7G;360.0000;0.0;5;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;600.0000;432.0000;600.0000;7622201702687;Rubro: ALMACEN
002535;002535;CLIGHT NARANJA DULCE 7,5G;360.0000;0.0;5;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;600.0000;432.0000;600.0000;7622201703141;Rubro: ALMACEN
002536;002536;HALLS MENTA LYPTUS 25.2G;581.0000;0.0;5;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;900.0000;697.0000;900.0000;7622202247316;Rubro: ALMACEN
002537;002537;HALLS MENTOL 25.2G;581.0000;0.0;5;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;900.0000;697.0000;900.0000;7622202247392;Rubro: ALMACEN
002538;002538;HALLS STRONG 24.7G;581.0000;0.0;5;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;1000.0000;697.0000;1000.0000;7622202271267;Rubro: ALMACEN
002539;002539;HALLS MIEL CON MENTA 25.6G;581.0000;0.0;5;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;900.0000;697.0000;900.0000;7622202271298;Rubro: ALMACEN
002540;002540;HALLS SANDIA 25.2 G;581.0000;0.0;5;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;900.0000;697.0000;900.0000;7622202247361;Rubro: ALMACEN
002541;002541;HALLS CHERRY 25.2G;581.0000;0.0;5;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;900.0000;697.0000;900.0000;7622202247286;Rubro: ALMACEN
002542;002542;HALLS FREE MENTA LYPTUS 26.1G;689.0000;0.0;5;3;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;1100.0000;827.0000;1100.0000;7622202288258;Rubro: ALMACEN
002543;002543;HALLS FREE CHERRY LYPTUS 26.1;689.0000;0.0;5;3;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;1100.0000;827.0000;1100.0000;7622202288227;Rubro: ALMACEN
002544;002544;PASTILLA CLIGHT;667.0000;0.0;5;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1000.0000;800.0000;1000.0000;7622202288319;Rubro: ALMACEN
