Codigo,Producto,Precio,Costo,Categorias,Stock,StockMinimo,CodigoBarras,Unidad,CantidadEnvase,Ubicacion
000163,TAMPON OB SUPER,,,LIMPIEZA E HIGIENE,-1,0,7891010254780,Unidades,0,
000164,PRIME PRESERVATIVOS RETARDANTE,,,LIMPIEZA E HIGIENE,0,0,7791519702112,Unidades,0,
000165,PRIME PRESERVATIVOS SUPER FINO,2388.0,1990.0,LIMPIEZA E HIGIENE,0,0,7791519200045,Unidades,0,
000166,PRIME PRESERVATIVOS ESPERMICIDAS,2388.0,1990.0,LIMPIEZA E HIGIENE,-6,0,7791519200076,Unidades,0,
000167,PRIME PRESERVATIVOS TACHAS,2900.0,1990.0,LIMPIEZA E HIGIENE,-1,0,7791519200090,Unidades,0,
000168,OFF REPELENTE FAM. CREMA 196G,6468.0,5390.0,LIMPIEZA E HIGIENE,2,0,7790520998934,Unidades,0,
000169,AZUCAR LEDESMA 1KG,2000.0,1329.0,ALMACEN,-4,0,7792540260138,Unidades,0,
000170,ENCENDEDOR BIC MINI,1320.0,1100.0,ALMACEN,-1,0,070330913431,Unidades,0,
000171,JUGO TANG LIMONAD DULCE,500.0,300.0,ALMACEN,13,0,7622201735685,Unidades,0,
000172,JUGO TANG NAR. DULCE,500.0,300.0,ALMACEN,1,0,7622201735340,Unidades,0,
000173,JUGO TANG MANZANA,360.0,300.0,ALMACEN,25,0,7622201705992,Unidades,0,
000174,JUGO CLIGHT LIMON MARACUYA,360.0,300.0,ALMACEN,31,0,7622201733834,Unidades,0,
000175,JUGO CLIGHT MANZANA DELIC.,500.0,300.0,ALMACEN,2,0,7622201703080,Unidades,0,
000176,JUGO CLIGHT NARANJA,500.0,300.0,ALMACEN,2,0,7622201703110,Unidades,0,
000177,GALLETAS CEREAL MIX CACAO 150G,1374.0,1145.0,ALMACEN,0,0,7790040140943,Unidades,0,
000178,AZUCAR LEDESMA RUBIO MASCABO 800G,1440.0,1200.0,ALMACEN,2,0,8366,Unidades,0,
000179,EDULCORANTE HILERET STEVIA 200ML,,,ALMACEN,-2,0,7794940000796,Unidades,0,
000180,EDULCORANTE HILERET CLASICO 250ML,,,ALMACEN,-2,0,7790490998231,Unidades,0,
000181,Artículo 000181,,,Sin categoría,-6,0,,Unidades,0,
000182,EXQUISITA GELATINA CER. LIGHT 25G,,,ALMACEN,-2,0,7790070432452,Unidades,0,
000183,EXQUISITA GELATINA NARANJA 40G,,,ALMACEN,-2,0,7790070432575,Unidades,0,
000184,EXQUISITA GELATINA CEREZA 40G,850.0,708.0,ALMACEN,11,0,7790070432513,Unidades,0,
000185,FLAN EXQUISITA VAINILLA 40G,,,ALMACEN,0,0,7790070413116,Unidades,0,
000186,FLAN EXQUISITA DULCE DE LECHE 40G,,,ALMACEN,0,0,7790070413130,Unidades,0,
000187,NESTLE LECHE CONDENSADA 395G,,,ALMACEN,-6,0,8445290900654,Unidades,0,
000188,AGUILA CHOCOLATE TAZA 150G,4356.0,3630.0,GOLOSINAS,0,0,7790407031273,Unidades,0,
000189,GALLETAS VARIEDAD TERRABUSI 390G,3200.0,2482.0,ALMACEN,4,0,7622201745561,Unidades,0,
000190,GALLETAS CHOCOLINAS NEGRO 245G,1888.0,1573.0,ALMACEN,0,0,7790040142992,Unidades,0,
000191,DON SATUR MADGALENAS CHOCOLATE 220G,,,ALMACEN,3,0,7795735601204,Unidades,0,
000192,DON SATUR MADGALENAS VAINILLA CHIPS CHOCO 200G,1900.0,0.1,ALMACEN,-20,0,7795735601198,Unidades,0,
000193,DON SATUR MADGALENAS VAINILLA 200G,2900.0,1954.0,ALMACEN,0,0,7795735601167,Unidades,0,
000194,OBLEA BAUDUCCO CHOCOLATE 78G,,,ALMACEN,-1,0,7891962058399,Unidades,0,
000195,OBLEA BAUDUCCO FRUTILLA 78G,,,ALMACEN,0,0,7891962058405,Unidades,0,
000196,DULCE DE MEMBRILLO DULCOR KG,,,ALMACEN,-5,0,131313,Unidades,0,
000197,GALLETAS DIVERSION SURTIDAS 400GR,2800.0,1861.0,ALMACEN,0,0,7790040143364,Unidades,0,
000198,GALLETAS 9 DE ORO ANILLOS VAINILLA 180G,840.0,700.0,ALMACEN,-6,0,7792180143464,Unidades,0,
000199,GALLETAS 9 DE ORO PEPAS 350G,,,ALMACEN,-8,0,7792180143280,Unidades,0,
000200,VINAGRE DON ANCLAS ALCOHOL 1L,,,ALMACEN,0,0,7792900093246,Unidades,0,
000201,VINAGRE DOS ANCLAS ALCOHOL 500ML,,,ALMACEN,-2,0,7792900093024,Unidades,0,
000202,DOS ANCLAS SALSA CARAMELO 330G,,,ALMACEN,0,0,7792900990842,Unidades,0,
000203,DOS ANCLAS SALSA CHOCOLATE 310G,,,ALMACEN,30,0,7792900990828,Unidades,0,
000204,VAINILLIN MAROLIO 110CC,,,ALMACEN,30,0,7797470002674,Unidades,0,
000205,ACETO BALSAMICO MAROLIO 250ML,1320.0,1100.0,ALMACEN,2,0,7797470009819,Unidades,0,
000206,DOS ANCLAS SALSA FRUTILLA 320G,,,ALMACEN,2,0,7792900990835,Unidades,0,
000207,EDULCORANTE HILERET CLASICO CAJA X50U,,,ALMACEN,20,0,7790490998026,Unidades,0,
000208,BIZCOCHUELO EXQUISITA VAINILLA 540G,3000.0,2500.0,ALMACEN,20,0,7790070432964,Unidades,0,
000209,BIZCOCHUELO EXQUISITA NARANJA 540G,3000.0,2500.0,ALMACEN,20,0,7790070432988,Unidades,0,
000210,BIZCOCHUELO EXQUISITA CHOCOLATE 540G,3000.0,2500.0,ALMACEN,30,0,7790070432971,Unidades,0,
000211,EDULCORANTE SI DIET 200CC,1530.0,1275.0,ALMACEN,30,0,7790036948188,Unidades,0,
000212,TOSTADAS RIERA CLASICAS 200G,,,ALMACEN,20,0,7790071090231,Unidades,0,
000213,TOSTADAS RIERA DULCES 200G,,,ALMACEN,20,0,7790071090125,Unidades,0,
000214,TOSTADAS RIERA SIN SAL 200G,,,ALMACEN,20,0,7790071090422,Unidades,0,
000215,CEREAL NUTRI BALANCE COPOS 150G,1440.0,1200.0,ALMACEN,20,0,7797599000513,Unidades,0,
000216,CEREAL NUTRIFLAKES COPOS AZ. 200G,1700.0,1800.0,ALMACEN,20,0,7797599000476,Unidades,0,
000217,GALLETAS SALVADO BAGLEY X3 507G,2176.0,1813.0,ALMACEN,20,0,7790040136243,Unidades,0,
000218,GALLETAS MEDIATARDE SANDWICH 321G,,,ALMACEN,20,0,7790040143005,Unidades,0,
000219,GALLETAS HOGAREÑAS SALVADO X1 200G,1500.0,931.0,ALMACEN,10,0,7790040132962,Unidades,0,
000220,GALLETAS CRIOLLITAS 5X100G,,,ALMACEN,100,0,7790040139015,Unidades,0,
000221,LECHE EN POLVO LA PAULINA ENTERA 800G,,,LACTEOS,100,0,7790398100644,Unidades,0,
000222,CINDOR CHOCOLATADA 1L,6900.0,4899.0,LACTEOS,100,0,7791337007253,Unidades,0,
000223,LECHE ARMONIA CAJA ENTERA 1L,,,LACTEOS,100,0,7790742336200,Unidades,0,
000224,LECHE ARMONIA CAJA DESCREM. 1L,,,LACTEOS,3,0,7793940361005,Unidades,0,
000225,CEREALES MAROLIO CHOCOLATE 200G,1440.0,1200.0,ALMACEN,3,0,7797470009864,Unidades,0,
000226,CEREAL MAROLIO ARITOS FRUT. 160G,,,ALMACEN,2,0,7797470009857,Unidades,0,
000227,CHOCOLINO 180G,2200.0,1554.0,ALMACEN,2,0,7790150830444,Unidades,0,
000228,GALLETAS MANA LECHE 136G,1039.0,866.0,GOLOSINAS,4,0,7790040137813,Unidades,0,
000229,SONRISAS 108G,1300.0,691.0,GOLOSINAS,4,0,7790040133488,Unidades,0,
000230,MELBA TERRABUSI 120G,1168.0,973.0,GOLOSINAS,5,0,762230,Unidades,0,
000231,MELBA,,,ALMACEN,5,0,762H,Unidades,0,
000232,MACUCAS CHOCOLATE,,,ALMACEN,5,0,7790040145337,Unidades,0,
000233,SONRISAS 180G,,,ALMACEN,2,0,7790040133488,Unidades,0,
000234,GALLETAS RUMBA 110G,829.0,691.0,ALMACEN,5,0,7790040143517,Unidades,0,
000235,GALLETAS MERENGADAS 88G,1300.0,691.0,ALMACEN,2,0,7790040139657,Unidades,0,
000236,MELLIZAS 110G,1300.0,691.0,ALMACEN,0,0,7790040143548,Unidades,0,
000237,GALLETAS OREO CLASICAS 118G,2200.0,1485.0,GOLOSINAS,200,0,7622201735272,Unidades,0,
