;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7793253006587;PERFUME DE PISO TROPICAL;;;;POETT;;1.152,00;1;;1.152,00
;7798184680578;PERFUME EN AEROSOL;;;;SAPHIRUS;;3.100,00;1;;3.100,00
;7798184685641;PERFUME EN AEROSOL;;;;SAPHIRUS;;3.100,00;1;;3.100,00
;7798184680516;PERFUME EN AEROSOL;;;;SAPHIRUS;;3.100,00;1;;3.100,00
;7798184680356;PERFUME EN AEROSOL;;;;SAPHIRUS;;3.100,00;1;;3.100,00
;7798184680820;PERFUME EN AEROSOL;;;;SAPHIRUS;;3.100,00;1;;3.100,00
;7793253003647;PERFUME PARA PISO;;;;POETT;;1.152,00;10;;11.520,00
;7793253003470;PERFUME PARA PISO;;;;POETT;;1.152,00;10;;11.520,00
;0041;PERFUME SPRAY;;;;SAPHIRUS;;2.000,00;11;;22.000,00
;7790260024023;PETACA DE ANIS;;;;;;1.800,00;2;;3.600,00
;7790989003248;PICADILLO;;;;LA NEGRA;;400,00;18;;7.200,00
;7790360966582;PICADILLO PICANTE;;;;LA BLANCA;;600,00;9;;5.400,00
;7798094220994;PICNIC;;;;;;300,00;1000;;300.000,0
;8999002671962;PILAS AA  ;;;;ENERGIZER;;1.000,00;4;;4.000,000
;7796962998525;PILAS AA    ;;;;PHILCO;;840,00;8;;6.720,00
;041333045412;PILAS AAA;;;;DURACELL;;1.000,00;22;;22.000,00
;2127796962998532;PILAS AAA;;;;PHILCO;;750,00;8;;6.000,00
;8999002672068;PILAS AAA;;;;ENERGIZER;;1.000,00;2;;2.000,00
;783094051386;PILAS AAA;;;;CANDELA;;600,00;3;;1.800,00
;039800052636;PILAS AAA X  UN;;;;EVEREADY;;650,00;4;;2.600,00
;7790198000014;PIMENTON 25 GS ;;;;GALVAN;;350,00;9;;3.150,00
;7790198000052;PIMIENTA BLANCA 25 GS;;;;GALVAN;;660,00;9;;5.940,00
;009;PIMIENTA MOLIDA ;;;;AROMAS DEL;;350,00;23;;8.050,00
;;;;;;MONTE
;7791885413735;PIMIENTO MORRON 185 GS;;;;CUMANA;;1.228,00;2;;2.456,00
;7790645001199;PIMIENTOS MORRONES 185 GS;;;;CARACAS;;2.250,00;3;;6.750,00
;7790645003315;PIMIENTOS MORRONES EN LATA;;;;CARACAS;;1.222,00;1;;1.222,00
;;;;;;Pág. 28 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7795293204107;PIONONO;;;;DON YEYO;;2.863,00;2;;5.726,00
;7798044150555;PIPAS GIGANTES;;;;;;350,00;6;;2.100,00
;77965233;PIPAS ROJAS;;;;;;220,00;32;;7.040,00
;00200;POLLUELOS;;;;;;200,00;23;;4.600,00
;7795194000310;POLVO DE HORNEAR 50 GS;;;;JTAL;;400,00;8;;3.200,00
;427;POLVO DE HORNEAR SUELTO KG;;;;;;5.400,00;10000;;0,0054.000.00
;7791905004486;POLVO LIPIADOR;;;;ODEX;;1.600,00;3;;4.800,00
;7793350992950;POMADA BLANCA P/ZAPATO;;;;WASHINGTON;;2.200,00;2;;4.400,00
